STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,ACTIVITY,Economic activity,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,ADJUSTMENT,Adjustment,CONVERSION_TYPE,Conversion type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,BEL,Belgium,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,70830.9071428571,,P,Provisional value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,LTU,Lithuania,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,51877.0457297041,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,TUR,Türkiye,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,44151.0223144176,,P,Provisional value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,JPN,Japan,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,50273.0860299794,,E,Estimated value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,SWE,Sweden,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,68802.1100846549,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,COL,Colombia,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,21994.4866286351,,E,Estimated value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,HRV,Croatia,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,46392.3626445674,,P,Provisional value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,CAN,Canada,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,61650.9814849762,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,DNK,Denmark,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,77223.3762447699,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,SVK,Slovak Republic,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,43818.802227877,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,GBR,United Kingdom,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,58906.1979078274,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,LVA,Latvia,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,42505.7973849053,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,NZL,New Zealand,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,53801.7991623834,,E,Estimated value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_LV(1.0),Productivity levels,I,SVN,Slovenia,A,Annual,GDPPOP,GDP per capita,_T,Total - all activities,USD_PPP_PS,"US dollars per person, PPP converted",V,Current prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2023,,54960.4110094235,,A,Normal value,0,Units,,,2,Two
